iter	Passed	Remaining
0	50	50091
1	51	25894
2	53	17759
3	55	13834
4	57	11411
5	58	9743
6	60	8526
7	61	7608
8	62	6922
9	64	6347
10	65	5868
11	66	5477
12	67	5137
13	69	4863
14	70	4629
15	71	4396
16	72	4199
17	73	4031
18	74	3864
19	75	3714
20	76	3584
21	77	3464
22	79	3361
23	80	3261
24	81	3172
25	82	3088
26	83	3006
27	84	2928
28	85	2865
29	86	2798
30	87	2745
31	88	2689
32	90	2637
33	91	2586
34	91	2532
35	92	2485
36	93	2444
37	95	2408
38	96	2369
39	97	2333
40	98	2300
41	99	2271
42	100	2241
43	101	2214
44	102	2183
45	103	2154
46	104	2124
47	105	2098
48	106	2073
49	107	2049
50	108	2026
51	110	2006
52	111	1986
53	112	1968
54	113	1947
55	114	1927
56	115	1910
57	116	1894
58	117	1875
59	118	1857
60	119	1840
61	120	1822
62	121	1814
63	123	1802
64	124	1786
65	125	1772
66	126	1758
67	126	1738
68	128	1727
69	129	1716
70	130	1702
71	131	1692
72	132	1680
73	133	1671
74	134	1659
75	135	1650
76	136	1638
77	137	1627
78	138	1616
79	139	1605
80	140	1595
81	141	1585
82	142	1576
83	143	1570
84	144	1556
85	145	1547
86	146	1534
87	147	1526
88	148	1521
89	149	1511
90	150	1505
91	151	1497
92	152	1489
93	153	1482
94	154	1474
95	156	1475
96	157	1467
97	158	1459
98	159	1452
99	160	1444
100	161	1437
101	162	1426
102	163	1421
103	164	1414
104	165	1409
105	166	1403
106	167	1397
107	168	1391
108	169	1385
109	170	1380
110	171	1373
111	172	1368
112	173	1362
113	174	1354
114	175	1349
115	176	1341
116	177	1335
117	178	1331
118	179	1325
119	180	1320
120	181	1316
121	182	1311
122	182	1302
123	183	1298
124	184	1294
125	185	1289
126	187	1285
127	187	1277
128	188	1273
129	189	1268
130	190	1263
131	191	1258
132	192	1254
133	193	1249
134	194	1245
135	195	1241
136	196	1236
137	197	1231
138	198	1227
139	199	1224
140	200	1220
141	201	1216
142	202	1212
143	203	1209
144	204	1205
145	205	1201
146	206	1198
147	207	1194
148	208	1190
149	209	1186
150	210	1181
151	211	1178
152	212	1174
153	213	1171
154	214	1167
155	215	1164
156	216	1161
157	217	1157
158	218	1153
159	219	1150
160	220	1148
161	221	1145
162	222	1142
163	223	1138
164	224	1135
165	225	1132
166	226	1129
167	227	1125
168	228	1122
169	229	1118
170	230	1115
171	231	1112
172	232	1110
173	233	1107
174	234	1105
175	235	1102
176	236	1099
177	237	1096
178	238	1094
179	239	1091
180	240	1085
181	241	1084
182	242	1081
183	243	1078
184	244	1076
185	245	1073
186	246	1071
187	247	1068
188	248	1065
189	249	1062
190	250	1059
191	251	1056
192	252	1054
193	253	1051
194	253	1048
195	254	1045
196	255	1043
197	256	1040
198	257	1038
199	258	1035
200	259	1033
201	260	1030
202	261	1028
203	263	1026
204	263	1023
205	264	1020
206	265	1018
207	266	1015
208	267	1013
209	268	1010
210	269	1008
211	270	1006
212	271	1003
213	272	1001
214	274	1000
215	275	998
216	276	995
217	277	993
218	278	991
219	279	989
220	280	987
221	281	984
222	282	982
223	283	980
224	284	978
225	285	976
226	286	974
227	286	971
228	288	969
229	289	967
230	290	966
231	291	964
232	292	962
233	293	960
234	294	957
235	295	955
236	296	953
237	297	951
238	298	949
239	299	947
240	300	945
241	301	943
242	302	941
243	303	939
244	304	936
245	305	935
246	306	932
247	306	930
248	307	928
249	308	926
250	309	923
251	310	922
252	311	920
253	312	918
254	313	916
255	314	914
256	315	912
257	316	910
258	317	908
259	318	906
260	319	904
261	320	902
262	321	901
263	322	899
264	323	896
265	324	895
266	325	893
267	326	891
268	327	889
269	328	887
270	329	885
271	330	883
272	331	881
273	332	880
274	333	878
275	334	876
276	334	874
277	336	872
278	336	870
279	338	869
280	339	867
281	340	866
282	341	864
283	342	863
284	343	861
285	344	859
286	345	857
287	346	855
288	347	854
289	348	853
290	349	851
291	350	849
292	351	848
293	352	846
294	353	844
295	354	842
296	355	841
297	356	839
298	357	838
299	358	836
300	359	834
301	360	832
302	361	832
303	362	830
304	363	829
305	364	827
306	365	826
307	366	824
308	367	822
309	368	820
310	369	818
311	370	816
312	371	815
313	372	813
314	373	812
315	374	810
316	375	808
317	376	807
318	377	805
319	378	804
320	379	802
321	380	800
322	381	799
323	382	797
324	383	795
325	383	793
326	384	792
327	385	790
328	386	789
329	387	787
330	388	785
331	389	784
332	391	783
333	392	781
334	393	780
335	394	778
336	394	777
337	396	775
338	397	774
339	398	772
340	399	771
341	400	770
342	401	769
343	402	767
344	403	765
345	404	764
346	405	763
347	406	761
348	407	759
349	408	758
350	409	756
351	410	755
352	411	753
353	412	752
354	413	750
355	414	749
356	415	747
357	416	746
358	417	744
359	418	743
360	419	741
361	419	739
362	420	738
363	421	737
364	422	735
365	423	733
366	424	732
367	425	730
368	426	729
369	427	728
370	429	727
371	430	726
372	431	725
373	432	723
374	433	722
375	434	721
376	435	719
377	436	718
378	437	717
379	438	715
380	439	714
381	440	713
382	441	711
383	442	710
384	443	708
385	444	707
386	445	705
387	446	704
388	447	703
389	448	701
390	449	700
391	450	699
392	451	697
393	452	696
394	454	695
395	454	693
396	455	692
397	456	690
398	457	689
399	458	688
400	459	686
401	460	685
402	461	684
403	462	682
404	464	681
405	465	680
406	466	679
407	466	677
408	468	676
409	469	674
410	469	673
411	470	671
412	472	671
413	473	669
414	473	668
415	475	666
416	476	665
417	476	664
418	477	662
419	478	661
420	480	660
421	480	658
422	482	657
423	483	656
424	483	654
425	484	653
426	486	652
427	487	650
428	487	649
429	488	647
430	489	646
431	490	645
432	491	644
433	492	642
434	494	641
435	495	640
436	496	639
437	497	638
438	498	637
439	499	636
440	500	635
441	502	633
442	503	632
443	504	631
444	505	630
445	506	629
446	507	628
447	508	626
448	509	625
449	510	624
450	511	623
451	512	621
452	514	620
453	515	619
454	516	618
455	517	616
456	518	615
457	519	614
458	520	612
459	520	611
460	522	610
461	523	609
462	524	607
463	525	606
464	526	605
465	527	604
466	528	603
467	529	601
468	530	600
469	531	599
470	532	598
471	533	596
472	534	595
473	535	594
474	536	593
475	537	591
476	538	590
477	539	589
478	540	588
479	541	586
480	542	585
481	544	584
482	545	583
483	546	582
484	547	580
485	548	579
486	549	578
487	550	577
488	551	575
489	552	574
490	553	573
491	554	572
492	555	570
493	556	570
494	557	569
495	558	567
496	559	566
497	560	565
498	562	564
499	563	563
500	564	562
501	565	561
502	566	560
503	567	558
504	569	557
505	570	556
506	571	555
507	572	554
508	573	553
509	575	552
510	576	551
511	577	550
512	579	549
513	580	548
514	581	547
515	582	546
516	583	545
517	584	544
518	585	542
519	586	541
520	588	540
521	589	539
522	590	538
523	591	537
524	592	536
525	593	535
526	594	534
527	596	532
528	597	531
529	598	530
530	599	529
531	600	528
532	601	527
533	603	526
534	604	525
535	605	524
536	606	523
537	608	522
538	609	521
539	610	520
540	611	518
541	612	517
542	613	516
543	615	515
544	616	514
545	617	513
546	618	512
547	622	513
548	623	512
549	624	510
550	625	509
551	626	508
552	627	507
553	628	506
554	634	508
555	635	507
556	636	506
557	637	505
558	638	503
559	639	502
560	640	501
561	641	500
562	642	498
563	643	497
564	644	496
565	645	494
566	646	493
567	647	492
568	648	491
569	649	490
570	650	488
571	651	487
572	653	486
573	653	485
574	654	484
575	655	482
576	656	481
577	657	480
578	658	478
579	659	477
580	660	476
581	661	475
582	662	474
583	663	472
584	665	471
585	666	470
586	667	469
587	668	468
588	669	466
589	670	465
590	671	464
591	672	463
592	673	462
593	674	461
594	675	460
595	677	458
596	677	457
597	679	456
598	680	455
599	681	454
600	682	452
601	683	451
602	684	450
603	685	449
604	686	448
605	687	446
606	688	445
607	689	444
608	690	443
609	691	442
610	692	441
611	693	439
612	694	438
613	695	437
614	696	436
615	697	434
616	698	433
617	700	432
618	701	431
619	701	430
620	703	429
621	704	427
622	704	426
623	705	425
624	706	424
625	707	422
626	708	421
627	709	420
628	710	419
629	711	417
630	712	416
631	713	415
632	714	414
633	716	413
634	717	412
635	718	411
636	719	410
637	720	408
638	721	407
639	722	406
640	723	405
641	724	403
642	725	402
643	726	401
644	727	400
645	728	399
646	729	398
647	730	396
648	731	395
649	732	394
650	733	393
651	734	392
652	735	390
653	736	389
654	737	388
655	738	387
656	739	386
657	740	385
658	741	383
659	742	382
660	743	381
661	744	380
662	745	378
663	746	377
664	747	376
665	748	375
666	749	374
667	750	373
668	751	371
669	752	370
670	753	369
671	755	368
672	756	367
673	756	366
674	758	365
675	759	363
676	759	362
677	760	361
678	761	360
679	762	358
680	763	357
681	764	356
682	765	355
683	766	354
684	767	352
685	768	351
686	769	350
687	770	349
688	771	348
689	772	346
690	773	345
691	774	344
692	775	343
693	776	342
694	777	341
695	778	340
696	779	338
697	780	337
698	782	336
699	783	335
700	784	334
701	785	333
702	786	332
703	787	331
704	788	330
705	789	328
706	790	327
707	791	326
708	792	325
709	793	324
710	794	322
711	795	321
712	796	320
713	797	319
714	798	318
715	799	317
716	800	315
717	801	314
718	802	313
719	803	312
720	804	311
721	805	310
722	806	309
723	807	307
724	808	306
725	809	305
726	810	304
727	811	303
728	812	302
729	813	300
730	814	299
731	815	298
732	816	297
733	818	296
734	819	295
735	820	294
736	821	293
737	822	291
738	823	290
739	824	289
740	825	288
741	825	287
742	826	286
743	827	284
744	829	283
745	830	282
746	831	281
747	832	280
748	833	279
749	834	278
750	835	276
751	835	275
752	836	274
753	837	273
754	839	272
755	840	271
756	841	269
757	841	268
758	843	267
759	844	266
760	845	265
761	846	264
762	847	263
763	848	262
764	849	260
765	850	259
766	851	258
767	853	257
768	854	256
769	855	255
770	856	254
771	857	253
772	858	252
773	859	251
774	860	249
775	861	248
776	862	247
777	863	246
778	864	245
779	865	244
780	866	243
781	867	241
782	868	240
783	869	239
784	870	238
785	871	237
786	872	236
787	873	235
788	874	233
789	876	232
790	877	231
791	878	230
792	878	229
793	879	228
794	880	227
795	882	226
796	883	224
797	884	223
798	885	222
799	886	221
800	887	220
801	888	219
802	889	218
803	890	217
804	891	215
805	892	214
806	893	213
807	894	212
808	895	211
809	896	210
810	897	209
811	898	208
812	899	206
813	900	205
814	901	204
815	902	203
816	903	202
817	904	201
818	905	200
819	906	198
820	907	197
821	908	196
822	909	195
823	910	194
824	911	193
825	912	192
826	913	191
827	914	189
828	915	188
829	916	187
830	917	186
831	918	185
832	919	184
833	920	183
834	921	182
835	922	180
836	923	179
837	924	178
838	925	177
839	926	176
840	927	175
841	928	174
842	929	173
843	930	172
844	931	170
845	932	169
846	933	168
847	934	167
848	935	166
849	936	165
850	937	164
851	938	163
852	939	161
853	940	160
854	941	159
855	942	158
856	943	157
857	944	156
858	945	155
859	946	154
860	947	152
861	948	151
862	949	150
863	950	149
864	951	148
865	952	147
866	953	146
867	954	145
868	955	144
869	956	142
870	958	141
871	959	140
872	960	139
873	961	138
874	962	137
875	963	136
876	964	135
877	965	134
878	966	133
879	967	131
880	969	130
881	970	129
882	971	128
883	972	127
884	973	126
885	974	125
886	975	124
887	976	123
888	977	122
889	978	120
890	979	119
891	980	118
892	981	117
893	982	116
894	983	115
895	984	114
896	985	113
897	986	112
898	987	110
899	988	109
900	989	108
901	989	107
902	990	106
903	992	105
904	993	104
905	994	103
906	995	102
907	996	100
908	997	99
909	998	98
910	999	97
911	999	96
912	1000	95
913	1001	94
914	1002	93
915	1003	92
916	1004	90
917	1005	89
918	1006	88
919	1007	87
920	1008	86
921	1009	85
922	1010	84
923	1011	83
924	1012	82
925	1013	81
926	1014	79
927	1015	78
928	1016	77
929	1017	76
930	1018	75
931	1019	74
932	1021	73
933	1022	72
934	1022	71
935	1023	69
936	1024	68
937	1025	67
938	1026	66
939	1027	65
940	1028	64
941	1029	63
942	1030	62
943	1031	61
944	1032	60
945	1033	59
946	1035	57
947	1036	56
948	1037	55
949	1038	54
950	1039	53
951	1040	52
952	1041	51
953	1042	50
954	1043	49
955	1044	48
956	1045	46
957	1045	45
958	1047	44
959	1048	43
960	1049	42
961	1051	41
962	1052	40
963	1053	39
964	1054	38
965	1055	37
966	1056	36
967	1057	34
968	1058	33
969	1059	32
970	1060	31
971	1061	30
972	1062	29
973	1063	28
974	1064	27
975	1065	26
976	1066	25
977	1067	24
978	1068	22
979	1069	21
980	1070	20
981	1071	19
982	1072	18
983	1073	17
984	1074	16
985	1075	15
986	1076	14
987	1077	13
988	1077	11
989	1078	10
990	1079	9
991	1080	8
992	1081	7
993	1082	6
994	1083	5
995	1084	4
996	1085	3
997	1086	2
998	1087	1
999	1088	0
