iter	Passed	Remaining
0	48	48719
1	50	25243
2	52	17385
3	53	13396
4	55	11021
5	56	9438
6	58	8257
7	59	7363
8	60	6650
9	61	6081
10	62	5625
11	63	5252
12	64	4926
13	65	4640
14	66	4396
15	68	4185
16	69	3992
17	70	3826
18	71	3674
19	72	3546
20	73	3425
21	74	3314
22	75	3208
23	76	3116
24	77	3022
25	78	2943
26	79	2874
27	80	2801
28	81	2733
29	82	2670
30	83	2608
31	84	2556
32	85	2507
33	86	2461
34	87	2420
35	88	2376
36	89	2336
37	90	2297
38	91	2258
39	92	2224
40	93	2191
41	94	2160
42	95	2129
43	96	2097
44	97	2068
45	98	2043
46	99	2019
47	100	1996
48	101	1971
49	102	1950
50	103	1929
51	104	1910
52	105	1892
53	107	1874
54	108	1859
55	109	1845
56	110	1827
57	111	1813
58	112	1797
59	113	1779
60	114	1762
61	115	1747
62	116	1735
63	117	1723
64	118	1709
65	119	1697
66	121	1685
67	121	1665
68	122	1649
69	123	1640
70	124	1628
71	125	1618
72	126	1606
73	127	1594
74	128	1584
75	129	1575
76	130	1567
77	131	1557
78	132	1548
79	133	1539
80	134	1529
81	135	1520
82	136	1511
83	137	1502
84	138	1488
85	139	1479
86	139	1468
87	141	1461
88	142	1454
89	143	1447
90	144	1439
91	145	1431
92	145	1423
93	146	1415
94	147	1406
95	148	1399
96	149	1392
97	150	1386
98	151	1380
99	152	1372
100	153	1366
101	153	1355
102	154	1347
103	155	1342
104	156	1335
105	157	1329
106	158	1324
107	159	1318
108	160	1313
109	161	1308
110	162	1304
111	163	1298
112	164	1292
113	165	1288
114	166	1283
115	167	1278
116	168	1273
117	169	1268
118	170	1263
119	171	1259
120	172	1253
121	173	1248
122	173	1239
123	174	1233
124	175	1229
125	176	1225
126	177	1221
127	178	1214
128	179	1210
129	180	1206
130	181	1202
131	182	1197
132	183	1194
133	184	1191
134	185	1187
135	186	1183
136	187	1179
137	188	1174
138	188	1169
139	189	1166
140	191	1164
141	192	1160
142	193	1156
143	193	1152
144	194	1149
145	195	1146
146	196	1142
147	197	1139
148	198	1136
149	199	1132
150	200	1128
151	201	1125
152	202	1122
153	203	1118
154	204	1115
155	205	1112
156	206	1109
157	207	1105
158	208	1102
159	209	1099
160	210	1095
161	211	1092
162	212	1088
163	213	1086
164	214	1083
165	215	1080
166	216	1078
167	217	1075
168	218	1072
169	219	1070
170	220	1067
171	221	1065
172	222	1062
173	223	1059
174	224	1056
175	225	1054
176	226	1051
177	227	1048
178	228	1045
179	228	1042
180	229	1037
181	230	1035
182	231	1033
183	232	1030
184	233	1027
185	234	1024
186	235	1022
187	235	1019
188	236	1016
189	237	1014
190	238	1011
191	239	1008
192	240	1006
193	241	1004
194	242	1001
195	243	999
196	244	997
197	245	994
198	246	992
199	247	990
200	248	988
201	249	986
202	250	984
203	251	981
204	252	978
205	253	976
206	254	974
207	255	973
208	256	971
209	257	969
210	258	967
211	261	972
212	262	970
213	263	968
214	264	966
215	265	964
216	266	962
217	267	960
218	268	957
219	269	956
220	270	953
221	271	951
222	272	949
223	273	946
224	274	944
225	275	942
226	276	940
227	276	937
228	277	935
229	278	933
230	279	931
231	280	929
232	281	927
233	282	925
234	283	924
235	284	922
236	285	919
237	286	918
238	287	916
239	288	914
240	289	912
241	290	910
242	291	908
243	292	906
244	293	904
245	294	903
246	295	901
247	296	899
248	297	897
249	298	895
250	299	893
251	300	891
252	301	889
253	302	887
254	303	887
255	304	885
256	305	884
257	306	881
258	307	879
259	308	878
260	309	876
261	310	874
262	311	873
263	312	871
264	313	870
265	314	868
266	315	867
267	316	865
268	317	862
269	318	860
270	319	858
271	320	856
272	320	854
273	321	852
274	322	850
275	323	848
276	324	847
277	325	845
278	326	843
279	327	842
280	328	840
281	329	838
282	330	837
283	331	836
284	332	834
285	333	832
286	334	830
287	335	828
288	336	827
289	337	826
290	338	824
291	339	822
292	340	820
293	341	819
294	342	818
295	343	816
296	344	815
297	345	813
298	346	811
299	346	809
300	347	807
301	348	806
302	349	804
303	350	802
304	351	801
305	352	799
306	353	798
307	354	796
308	355	794
309	356	792
310	357	791
311	358	789
312	359	788
313	360	787
314	361	785
315	362	784
316	363	782
317	363	780
318	364	778
319	365	777
320	366	775
321	367	773
322	368	772
323	369	770
324	370	769
325	371	768
326	372	766
327	373	765
328	374	763
329	375	762
330	376	760
331	377	759
332	378	757
333	379	756
334	380	755
335	381	753
336	382	752
337	383	750
338	384	749
339	385	748
340	386	746
341	387	745
342	388	744
343	389	742
344	390	740
345	391	739
346	392	737
347	392	736
348	393	734
349	394	733
350	395	731
351	396	730
352	397	728
353	398	726
354	399	725
355	400	723
356	400	722
357	401	720
358	402	719
359	403	717
360	404	715
361	405	714
362	406	712
363	407	711
364	408	710
365	409	708
366	410	707
367	410	705
368	411	704
369	412	702
370	413	701
371	414	699
372	415	698
373	416	697
374	417	695
375	418	694
376	419	693
377	420	691
378	421	690
379	422	689
380	423	687
381	424	686
382	425	685
383	426	683
384	427	682
385	428	681
386	429	679
387	430	678
388	430	676
389	431	675
390	432	673
391	433	672
392	434	671
393	435	669
394	436	668
395	437	666
396	438	665
397	438	663
398	440	663
399	441	662
400	442	660
401	443	660
402	444	659
403	445	657
404	446	656
405	447	654
406	448	653
407	449	652
408	450	651
409	451	650
410	452	648
411	453	646
412	454	645
413	455	644
414	456	643
415	457	642
416	458	640
417	459	639
418	460	637
419	461	636
420	462	635
421	463	634
422	464	633
423	465	631
424	465	630
425	466	629
426	467	627
427	468	626
428	469	625
429	470	624
430	471	622
431	472	621
432	473	620
433	474	619
434	475	617
435	476	616
436	477	615
437	478	613
438	479	612
439	480	611
440	481	610
441	482	609
442	483	607
443	484	606
444	485	605
445	486	603
446	487	602
447	488	601
448	489	600
449	489	598
450	491	597
451	492	596
452	492	595
453	493	593
454	495	592
455	495	591
456	497	590
457	498	589
458	499	588
459	500	587
460	501	585
461	502	584
462	503	583
463	504	582
464	505	581
465	506	579
466	506	578
467	508	577
468	508	576
469	509	574
470	510	573
471	511	572
472	512	570
473	513	569
474	514	568
475	515	567
476	516	566
477	517	564
478	518	563
479	519	562
480	520	561
481	521	560
482	522	558
483	523	557
484	523	556
485	524	555
486	525	553
487	526	552
488	527	551
489	528	550
490	529	549
491	530	548
492	531	546
493	532	545
494	533	544
495	534	543
496	535	541
497	536	540
498	537	539
499	538	538
500	539	537
501	540	535
502	541	534
503	542	533
504	543	532
505	543	531
506	544	529
507	545	528
508	546	527
509	547	526
510	549	525
511	550	524
512	551	523
513	552	521
514	552	520
515	554	519
516	555	518
517	556	517
518	557	516
519	558	515
520	559	514
521	559	512
522	560	511
523	561	510
524	562	509
525	563	507
526	564	506
527	565	505
528	566	504
529	567	502
530	567	501
531	569	500
532	570	499
533	571	498
534	572	497
535	573	496
536	573	494
537	574	493
538	575	492
539	576	491
540	577	490
541	578	489
542	579	487
543	580	486
544	581	485
545	582	484
546	583	483
547	584	482
548	585	480
549	586	479
550	587	478
551	588	477
552	589	476
553	590	475
554	591	474
555	592	473
556	593	472
557	594	471
558	595	469
559	596	468
560	597	467
561	598	466
562	599	465
563	600	464
564	601	462
565	602	461
566	603	460
567	604	459
568	605	458
569	606	457
570	607	456
571	608	455
572	609	453
573	610	452
574	611	451
575	612	450
576	613	449
577	614	448
578	614	447
579	615	445
580	616	444
581	617	443
582	618	442
583	619	441
584	620	440
585	621	439
586	622	438
587	623	437
588	624	436
589	625	434
590	626	433
591	627	432
592	628	431
593	629	430
594	630	429
595	631	428
596	632	427
597	633	425
598	634	424
599	635	423
600	636	422
601	637	421
602	638	420
603	639	419
604	640	417
605	640	416
606	641	415
607	642	414
608	643	413
609	644	412
610	646	411
611	646	410
612	647	409
613	648	407
614	649	406
615	651	405
616	652	404
617	652	403
618	653	402
619	654	401
620	655	400
621	656	399
622	657	398
623	658	396
624	659	395
625	660	394
626	661	393
627	662	392
628	662	390
629	663	389
630	664	388
631	665	387
632	666	386
633	667	385
634	668	384
635	669	383
636	670	381
637	671	380
638	672	379
639	673	378
640	674	377
641	675	376
642	675	375
643	676	374
644	677	372
645	678	371
646	679	370
647	680	369
648	681	368
649	682	367
650	683	366
651	684	365
652	685	364
653	686	362
654	686	361
655	688	360
656	689	359
657	689	358
658	690	357
659	691	356
660	692	355
661	693	354
662	694	353
663	695	352
664	696	350
665	697	349
666	698	348
667	699	347
668	700	346
669	701	345
670	702	344
671	703	343
672	721	350
673	722	349
674	723	348
675	724	347
676	725	346
677	726	345
678	727	343
679	728	342
680	729	341
681	730	340
682	730	339
683	731	338
684	732	336
685	733	335
686	734	334
687	735	333
688	736	332
689	737	331
690	738	330
691	739	329
692	740	328
693	741	326
694	742	325
695	743	324
696	744	323
697	745	322
698	746	321
699	747	320
700	748	319
701	749	318
702	750	316
703	751	315
704	752	314
705	752	313
706	753	312
707	754	311
708	755	310
709	756	309
710	757	307
711	758	306
712	759	305
713	760	304
714	761	303
715	762	302
716	763	301
717	764	300
718	764	298
719	765	297
720	767	296
721	768	295
722	768	294
723	769	293
724	770	292
725	771	291
726	772	290
727	773	289
728	774	287
729	775	286
730	776	285
731	777	284
732	778	283
733	779	282
734	780	281
735	781	280
736	782	279
737	783	278
738	784	277
739	785	275
740	786	274
741	786	273
742	787	272
743	789	271
744	789	270
745	790	269
746	791	268
747	792	267
748	793	265
749	794	264
750	795	263
751	796	262
752	797	261
753	798	260
754	798	259
755	799	258
756	800	257
757	801	255
758	802	254
759	803	253
760	804	252
761	805	251
762	806	250
763	807	249
764	808	248
765	809	247
766	809	246
767	810	244
768	811	243
769	812	242
770	813	241
771	814	240
772	815	239
773	816	238
774	817	237
775	817	236
776	818	235
777	820	233
778	820	232
779	821	231
780	822	230
781	823	229
782	824	228
783	825	227
784	826	226
785	827	225
786	828	224
787	828	223
788	829	221
789	830	220
790	831	219
791	832	218
792	833	217
793	834	216
794	835	215
795	836	214
796	837	213
797	838	212
798	839	211
799	840	210
800	841	209
801	842	207
802	843	206
803	844	205
804	845	204
805	845	203
806	846	202
807	847	201
808	848	200
809	849	199
810	850	198
811	851	197
812	852	196
813	853	194
814	854	193
815	854	192
816	855	191
817	856	190
818	857	189
819	858	188
820	859	187
821	860	186
822	861	185
823	862	184
824	863	183
825	864	182
826	865	181
827	866	179
828	867	178
829	868	177
830	869	176
831	870	175
832	871	174
833	872	173
834	873	172
835	874	171
836	875	170
837	876	169
838	877	168
839	878	167
840	879	166
841	880	165
842	881	164
843	882	163
844	883	162
845	884	160
846	885	159
847	886	158
848	887	157
849	888	156
850	889	155
851	890	154
852	891	153
853	892	152
854	893	151
855	894	150
856	895	149
857	895	148
858	896	147
859	897	146
860	898	145
861	899	144
862	900	143
863	901	141
864	902	140
865	903	139
866	904	138
867	906	137
868	907	136
869	908	135
870	909	134
871	909	133
872	910	132
873	911	131
874	913	130
875	914	129
876	915	128
877	916	127
878	917	126
879	918	125
880	919	124
881	920	123
882	921	122
883	921	120
884	923	119
885	923	118
886	924	117
887	925	116
888	926	115
889	927	114
890	928	113
891	929	112
892	930	111
893	931	110
894	932	109
895	933	108
896	934	107
897	935	106
898	936	105
899	937	104
900	938	103
901	939	102
902	940	100
903	941	99
904	942	98
905	943	97
906	944	96
907	945	95
908	946	94
909	947	93
910	948	92
911	949	91
912	950	90
913	951	89
914	952	88
915	953	87
916	954	86
917	955	85
918	955	84
919	957	83
920	957	82
921	958	81
922	960	80
923	961	79
924	962	78
925	963	77
926	964	75
927	965	74
928	966	73
929	967	72
930	968	71
931	969	70
932	970	69
933	971	68
934	972	67
935	973	66
936	974	65
937	975	64
938	976	63
939	977	62
940	978	61
941	979	60
942	980	59
943	981	58
944	982	57
945	983	56
946	984	55
947	985	54
948	985	52
949	987	51
950	987	50
951	988	49
952	989	48
953	990	47
954	991	46
955	992	45
956	993	44
957	994	43
958	995	42
959	996	41
960	996	40
961	997	39
962	998	38
963	999	37
964	1000	36
965	1001	35
966	1002	34
967	1003	33
968	1004	32
969	1005	31
970	1006	30
971	1007	29
972	1008	27
973	1009	26
974	1009	25
975	1010	24
976	1011	23
977	1012	22
978	1013	21
979	1014	20
980	1015	19
981	1016	18
982	1017	17
983	1018	16
984	1019	15
985	1020	14
986	1021	13
987	1022	12
988	1023	11
989	1024	10
990	1024	9
991	1025	8
992	1026	7
993	1027	6
994	1028	5
995	1029	4
996	1030	3
997	1031	2
998	1032	1
999	1033	0
